"Ia","Ib","Ic","Ua","Ub","Uc"
"97.024","-563.667","464.114","120592.325","-170551.512","50015.689"
"145.788","-576.576","433.973","130130.788","-166831.5","36666.907"
"189.676","-589.485","399.525","138975.544","-162073.346","23058.084"
"233.564","-598.091","360.772","146953.168","-156363.56","9362.581"
"277.452","-602.395","322.018","153976.945","-149615.632","-4419.601"
"321.34","-602.395","283.265","160133.59","-142002.585","-18115.105"
"360.352","-598.091","240.206","165249.674","-133437.907","-31723.928"
"394.487","-589.485","197.147","169325.199","-124181.133","-45159.39"
"428.622","-580.879","149.781","172360.165","-114059.241","-58334.81"
"462.757","-567.97","102.416","174354.571","-103245.254","-71163.51"
"492.016","-550.758","55.051","175308.417","-91825.683","-83472.126"
"516.398","-529.242","7.686","175134.991","-79800.529","-95347.341"
"540.781","-503.424","-39.679","173921.004","-67342.815","-106615.793"
"560.286","-473.302","-87.044","171579.745","-54366.03","-117190.802"
"579.792","-443.181","-134.409","168197.927","-41129.709","-127072.368"
"589.545","-413.059","-177.468","163775.548","-27633.853","-136173.81"
"599.298","-374.332","-224.834","158399.324","-13964.973","-144408.448"
"604.175","-335.604","-267.893","151982.54","-209.581","-151776.282"
"609.051","-296.877","-310.952","144698.622","13545.81","-158190.631"
"604.175","-253.846","-349.706","136460.859","27214.691","-163651.496"
"599.298","-210.815","-388.459","127355.962","40710.547","-168158.877"
"589.545","-163.481","-422.906","117557.359","54033.38","-171539.413"
"574.916","-120.451","-457.354","106978.337","66923.653","-173879.784"
"560.286","-73.117","-487.495","95705.608","79467.878","-175179.99"
"540.781","-25.783","-513.331","83912.599","91493.032","-175353.35"
"516.398","21.55","-539.167","71512.597","102912.603","-174486.546"
"492.016","68.883","-560.696","58765.742","113813.102","-172492.897"
"457.881","116.217","-577.92","45585.32","123934.995","-169459.083"
"428.622","163.551","-590.838","32144.759","133278.28","-165471.785"
"394.487","210.885","-603.755","18530.771","141842.958","-160357.641"
"355.476","253.915","-608.061","4830.069","149456.005","-154290.013"
"316.464","296.946","-612.367","-8957.344","156203.934","-147268.901"
"272.576","335.674","-612.367","-22658.046","162000.231","-139294.304"
"228.688","374.401","-608.061","-36272.034","166758.385","-130539.583"
"184.8","413.129","-599.45","-49625.882","170564.909","-120918.059"
