"Ia","Ib","Ic","Ua","Ub","Uc"
"-594.892","368.742","230.744","-154383.293","8355.096","146001.46"
"-594.892","360.134","239.357","-153168.651","5673.227","147475.394"
"-599.769","351.525","247.971","-151867.25","2904.847","148862.626"
"-599.769","342.916","256.585","-150479.088","222.978","150249.858"
"-599.769","338.612","260.892","-149090.927","-2545.402","151637.09"
"-599.769","330.004","269.506","-147702.765","-5227.271","152937.62"
"-599.769","321.395","278.12","-146227.843","-7995.652","154238.15"
"-599.769","312.786","286.734","-144752.922","-10677.521","155451.978"
"-599.769","304.178","295.348","-143278.0","-13445.901","156665.806"
"-599.769","295.569","303.962","-141716.318","-16127.77","157792.932"
"-599.769","286.961","312.576","-140067.876","-18896.151","158920.058"
"-599.769","278.352","321.19","-138419.434","-21578.02","160047.184"
"-599.769","269.743","329.804","-136770.992","-24259.889","161087.608"
"-599.769","261.135","334.111","-135122.551","-26941.758","162041.33"
"-599.769","252.526","342.725","-133387.348","-29623.627","162995.052"
"-594.892","243.918","351.339","-131652.146","-32305.496","163948.774"
"-594.892","235.309","359.953","-129830.184","-34987.364","164815.794"
"-594.892","226.7","364.26","-128008.222","-37669.233","165682.814"
"-594.892","218.092","372.874","-126099.5","-40351.102","166463.132"
"-590.015","209.483","381.488","-124277.538","-43032.971","167243.45"
"-590.015","200.875","390.101","-122282.056","-45628.328","167937.066"
"-590.015","192.266","394.408","-120373.333","-48223.685","168630.682"
"-585.138","183.657","403.022","-118377.851","-50905.554","169237.596"
"-585.138","175.049","407.329","-116382.369","-53500.911","169844.51"
"-580.261","166.44","415.943","-114300.126","-56096.268","170451.424"
"-580.261","157.832","424.557","-112304.644","-58691.625","170884.934"
"-575.384","149.223","428.864","-110135.642","-61200.47","171405.146"
"-575.384","136.31","437.478","-108053.399","-63795.827","171838.656"
"-570.507","127.701","441.785","-105884.397","-66304.672","172185.464"
"-565.63","119.093","446.092","-103715.394","-68813.517","172532.272"
"-565.63","110.484","454.706","-101546.392","-71322.363","172879.08"
"-560.753","101.876","459.013","-99290.629","-73744.696","173052.484"
"-555.876","93.267","467.627","-97034.867","-76253.541","173312.59"
"-555.876","80.354","471.934","-94779.104","-78675.874","173485.994"
"-550.999","71.746","476.241","-92523.341","-81098.207","173572.696"
"-546.122","63.137","484.855","-90180.819","-83520.54","173659.398"
"-541.245","54.528","489.162","-87838.296","-85942.874","173746.1"
"-536.368","45.92","493.469","-85495.773","-88278.695","173746.1"
"-536.368","37.311","497.776","-83066.49","-90614.516","173659.398"
"-531.491","24.398","502.083","-80637.208","-92950.338","173572.696"
"-526.614","15.79","510.697","-78207.925","-95199.647","173485.994"
"-521.737","7.181","515.004","-75778.642","-97448.956","173312.59"
"-516.86","-1.427","519.311","-73349.359","-99698.266","173052.484"
"-511.983","-10.035","523.618","-70833.316","-101947.575","172792.378"
"-507.106","-22.948","527.924","-68317.273","-104196.885","172532.272"
"-502.229","-31.557","532.231","-65801.231","-106359.682","172185.464"
"-497.352","-40.165","536.538","-63285.188","-108522.48","171751.954"
"-492.475","-48.774","540.845","-60769.145","-110598.765","171318.444"
"-482.721","-57.382","545.152","-58166.342","-112675.051","170884.934"
"-477.844","-70.295","549.459","-55650.299","-114751.336","170364.722"
"-472.967","-78.904","549.459","-53047.496","-116827.622","169844.51"
"-468.09","-87.513","553.766","-50444.693","-118817.396","169237.596"
"-463.213","-96.121","558.073","-47755.13","-120807.169","168543.98"
"-453.459","-104.73","562.38","-45152.327","-122710.431","167937.066"
"-448.582","-113.338","562.38","-42549.524","-124613.693","167156.748"
"-443.705","-126.251","566.687","-39859.961","-126516.955","166376.43"
"-438.828","-134.86","570.994","-37257.158","-128420.217","165596.112"
"-429.074","-143.468","570.994","-34567.595","-130236.966","164729.092"
"-424.197","-152.077","575.301","-31878.031","-132053.716","163862.072"
"-414.443","-160.686","579.608","-29188.468","-133783.954","162995.052"
"-409.566","-169.294","579.608","-26498.905","-135514.192","161954.628"
"-404.689","-177.903","579.608","-23809.342","-137157.918","161000.906"
"-394.935","-186.511","583.915","-21119.779","-138888.156","159960.482"
"-390.058","-195.12","583.915","-18343.456","-140445.371","158833.356"
"-380.304","-203.729","588.222","-15653.893","-142089.097","157706.23"
"-375.427","-216.642","588.222","-12964.33","-143646.311","156579.104"
