"Ia","Ib","Ic","Ua","Ub","Uc"
"168.529","227.254","76.39","66541.898","45660.025","25447.771"
"170.979","226.338","73.656","66730.998","44904.982","26285.819"
"173.377","225.363","71.011","66904.361","44141.428","27129.028"
"175.746","224.335","68.397","67061.94","43368.98","27976.374"
"178.088","223.254","65.822","67203.632","42588.339","28825.941"
"180.381","222.115","63.371","67329.413","41800.157","29676.9"
"182.646","220.927","60.98","67439.217","41004.545","30528.518"
"184.863","219.689","58.74","67533.044","40201.667","31381.081"
"187.051","218.4","56.67","67610.982","39391.74","32231.414"
"189.193","217.062","54.7","67672.882","38575.591","33080.638"
"191.306","215.672","52.937","67718.756","37753.435","33927.511"
"193.374","214.232","51.305","67748.617","36925.545","34770.804"
"195.373","212.741","49.822","67762.451","36092.863","35610.887"
"197.334","211.202","48.704","67760.251","35255.672","36447.479"
"199.243","209.614","47.769","67741.956","34414.313","37278.858"
"201.097","207.978","47.135","67707.516","33569.876","38105.402"
"202.913","206.305","46.707","67656.968","32722.736","38926.203"
"204.68","204.58","46.492","67590.385","31873.331","39740.323"
"206.397","202.806","46.707","67507.784","31022.171","40548.139"
"208.061","200.994","47.135","67409.166","30171.452","41349.514"
"209.674","199.129","47.769","67294.587","29320.022","42143.727"
"211.25","197.214","48.702","67164.072","28469.495","42930.015"
"212.782","195.263","49.818","67017.696","27621.558","43708.176"
"214.269","193.272","51.299","66855.371","26776.096","44478.653"
"215.712","191.227","52.927","66677.228","25934.098","45240.317"
"217.096","189.129","54.78","66483.343","25097.71","45993.007"
"218.429","186.997","56.747","66273.726","24269.236","46736.617"
"219.711","184.827","58.9","66048.504","23450.062","47470.563"
"220.944","182.603","61.136","65807.538","22640.593","48194.725"
"222.13","180.344","63.525","65550.974","21843.849","48908.533"
"223.27","178.033","65.972","65278.866","21060.592","49612.354"
"224.355","175.69","68.542","64991.442","20294.442","50305.76"
"225.377","173.314","71.223","64688.575","19548.01","50988.267"
"226.344","170.904","73.866","64370.481","18825.704","51659.791"
"227.259","168.458","76.598","64037.32","18129.369","52320.31"
"228.124","165.957","79.411","63689.193","17464.297","52968.988"
"228.934","163.427","82.235","63325.975","16833.009","53606.515"
"229.684","160.866","85.065","62947.947","16239.995","54231.81"
"230.378","158.295","87.953","62555.428","15691.913","54845.106"
"231.023","155.666","90.895","62148.219","15195.898","55446.037"
"231.613","153.005","93.834","61726.568","14755.57","56034.56"
"232.147","150.315","96.765","61290.664","14376.399","56610.326"
"232.62","147.596","99.734","60840.505","14061.587","57173.659"
"233.039","144.847","102.692","60376.164","13820.016","57723.651"
"233.408","142.071","105.635","59897.943","13651.475","58260.814"
"233.721","139.269","108.604","59406.079","13563.141","58784.637"
"233.981","136.441","111.557","58900.753","13552.328","59294.746"
"234.188","133.59","114.532","58381.729","13623.531","59791.351"
"234.341","130.745","117.489","57849.352","13773.307","60274.241"
